provinsi,bulan,bulan_num,produksi_ton,tahun,sumber
DKI Jakarta,Januari,1,29.49,2026,BPS 2026
DKI Jakarta,Februari,2,240.34,2026,BPS 2026
DKI Jakarta,Maret,3,72.8,2026,BPS 2026
DKI Jakarta,April,4,99.53,2026,BPS 2026
DKI Jakarta,Mei,5,40.08,2026,BPS 2026
DKI Jakarta,Juni,6,13.35,2026,BPS 2026
Jawa Barat,Januari,1,614981.78,2026,BPS 2026
Jawa Barat,Februari,2,574166.2,2026,BPS 2026
Jawa Barat,Maret,3,1046815.28,2026,BPS 2026
Jawa Barat,April,4,1251852.12,2026,BPS 2026
Jawa Barat,Mei,5,1118247.72,2026,BPS 2026
Jawa Barat,Juni,6,749165.74,2026,BPS 2026
Jawa Tengah,Januari,1,374912.21,2026,BPS 2026
Jawa Tengah,Februari,2,1192094.35,2026,BPS 2026
Jawa Tengah,Maret,3,1748368.22,2026,BPS 2026
Jawa Tengah,April,4,931635.36,2026,BPS 2026
Jawa Tengah,Mei,5,503660.62,2026,BPS 2026
Jawa Tengah,Juni,6,924319.94,2026,BPS 2026
DI Yogyakarta,Januari,1,32541.06,2026,BPS 2026
DI Yogyakarta,Februari,2,126173.38,2026,BPS 2026
DI Yogyakarta,Maret,3,96360.36,2026,BPS 2026
DI Yogyakarta,April,4,46111.8,2026,BPS 2026
DI Yogyakarta,Mei,5,24442.77,2026,BPS 2026
DI Yogyakarta,Juni,6,48644.58,2026,BPS 2026
Jawa Timur,Januari,1,481079.18,2026,BPS 2026
Jawa Timur,Februari,2,915123.67,2026,BPS 2026
Jawa Timur,Maret,3,2253778.43,2026,BPS 2026
Jawa Timur,April,4,1454210.5,2026,BPS 2026
Jawa Timur,Mei,5,654771.42,2026,BPS 2026
Jawa Timur,Juni,6,865366.46,2026,BPS 2026
Banten,Januari,1,145120.73,2026,BPS 2026
Banten,Februari,2,302192.68,2026,BPS 2026
Banten,Maret,3,264694.55,2026,BPS 2026
Banten,April,4,103542.19,2026,BPS 2026
Banten,Mei,5,88016.56,2026,BPS 2026
Banten,Juni,6,145822.13,2026,BPS 2026
